mall_name
100 AM
313@Somerset
Aperia
Balestier Hill Shopping Centre
Bugis Cube
Bugis Junction
Bugis+
Capitol Piazza
Cathay Cineleisure Orchard
The Central
The Centrepoint
City Square Mall
City Gate
CityLink Mall
Duo
Far East Plaza
Funan
Great World City
HDB Hub
Holland Road Shopping Centre
ION Orchard
Junction 8
Knightsbridge
Liat Towers
Lucky Plaza
Marina Bay Sands
The Shoppes at Marina Bay Sands
Marina Bay Link Mall
Marina Square
Millenia Walk
Mustafa Centre
Ngee Ann City
Orchard Central
Orchard Gateway
Orchard Plaza
Midpoint Orchard
Palais Renaissance
People's Park Centre
People's Park Complex
Plaza Singapura
GR.ID
Raffles City
Scotts Square
Shaw Centre
Sim Lim Square
Singapore Shopping Centre
The South Beach
Square 2
Sunshine Plaza
Suntec City
Tanglin Mall
Tangs
Tanglin Mall
Tanjong Pagar Centre
Tekka Centre
The Adelphi
The Paragon
Tiong Bahru Plaza
The Poiz Centre
Thomson Plaza
United Square
Velocity @ Novena Square
Wheelock Place
Wisma Atria
Zhongshan Mall
Bedok Mall
Bedok Point
Century Square
Our Tampines Hub
Changi City Point
Downtown East
Djitsun Mall Bedok
Eastpoint Mall
Jewel Changi Airport
KINEX
Katong Shopping Centre
Katong Square
Kallang Wave Mall
Leisure Park Kallang
i12 Katong
Parkway Parade
Paya Lebar Square
Paya Lebar Quarter
Roxy Square
Singpost Centre
Tampines 1
Tampines Mall
White Sands
City Plaza
Elias Mall
Loyang Point
888 Plaza
Admiralty Place
AMK Hub
Canberra Plaza
Causeway Point
Woodlands Civic Centre
Broadway Plaza
Djitsun Mall
Jubilee Square
Junction 8
Marsiling Mall
Northpoint City
Sembawang Shopping Centre
Sun Plaza
Vista Point
Wisteria Mall
Woodlands Mart
Woodlands North Plaza
Waterway Point
Compass One
Hougang Mall
Heartland Mall
NEX
Greenwich V
Hougang 1
Hougang Green Shopping Mall
myVillage At Serangoon Garden
Northshore Plaza
Oasis Terraces
Punggol Plaza
Rivervale Mall
Rivervale Plaza
The Seletar Mall
Buangkok Square
Upper Serangoon Shopping Centre
Beauty World Centre
Beauty World Plaza
Bukit Panjang Plaza
Bukit Timah Plaza
Fajar Shopping Centre
Greenridge Shopping Centre
Hillion Mall
HillV2
Junction 10
Keat Hong Shopping Centre
Limbang Shopping Centre
Lot One
Rail Mall
Sunshine Place
Teck Whye Shopping Centre
West Mall
Yew Tee Point
Yew Tee Square
VivoCity
HarbourFront Centre
Alexandra Retail Centre
321 Clementi
The Clementi Mall
IMM
JCube
Jem
Westgate
Jurong Point
Pioneer Mall
The Star Vista
Alexandra Central
Anchorpoint
The Grandstand
Boon Lay Shopping Centre
Grantral Mall
Fairprice Hub
Gek Poh Shopping Centre
Rochester Mall
Taman Jurong Shopping Centre
West Coast Plaza
Queensway Shopping Centre
