stn_id,line_id,stn_name,commence_date,is_active
BP1,BPLRT,CHOA CHU KANG LRT STATION,1999-11-06,Y
BP2,BPLRT,SOUTH VIEW LRT STATION,1999-11-06,Y
BP3,BPLRT,KEAT HONG LRT STATION,1999-11-06,Y
BP4,BPLRT,TECK WHYE LRT STATION,1999-11-06,Y
BP5,BPLRT,PHOENIX LRT STATION,1999-11-06,Y
BP6,BPLRT,BUKIT PANJANG LRT STATION,1999-11-06,Y
BP7,BPLRT,PETIR LRT STATION,1999-11-06,Y
BP8,BPLRT,PENDING LRT STATION,1999-11-06,Y
BP9,BPLRT,BANGKIT LRT STATION,1999-11-06,Y
BP10,BPLRT,FAJAR LRT STATION,1999-11-06,Y
BP11,BPLRT,SEGAR LRT STATION,1999-11-06,Y
BP12,BPLRT,JELAPANG LRT STATION,1999-11-06,Y
BP13,BPLRT,SENJA LRT STATION,1999-11-06,Y
CC1,CCL,DHOBY GHAUT MRT STATION,2010-04-17,Y
CC2,CCL,BRAS BASAH MRT STATION,2010-04-17,Y
CC3,CCL,ESPLANADE MRT STATION,2010-04-17,Y
CC4,CCL,PROMENADE MRT STATION,2010-04-17,Y
CC5,CCL,NICOLL HIGHWAY MRT STATION,2010-04-17,Y
CC6,CCL,STADIUM MRT STATION,2010-04-17,Y
CC7,CCL,MOUNTBATTEN MRT STATION,2010-04-17,Y
CC8,CCL,DAKOTA MRT STATION,2010-04-17,Y
CC9,CCL,PAYA LEBAR MRT STATION,2010-04-17,Y
CC10,CCL,MACPHERSON MRT STATION,2010-04-17,Y
CC11,CCL,TAI SENG MRT STATION,2010-04-17,Y
CC12,CCL,BARTLEY MRT STATION,2009-05-28,Y
CC13,CCL,SERANGOON MRT STATION,2009-05-28,Y
CC14,CCL,LORONG CHUAN MRT STATION,2009-05-28,Y
CC15,CCL,BISHAN MRT STATION,2009-05-28,Y
CC16,CCL,MARYMOUNT MRT STATION,2009-05-28,Y
CC17,CCL,CALDECOTT MRT STATION,2011-10-08,Y
CC18,CCL,BUKIT BROWN MRT STATION,,N
CC19,CCL,BOTANIC GARDENS MRT STATION,2011-10-08,Y
CC20,CCL,FARRER ROAD MRT STATION,2011-10-08,Y
CC21,CCL,HOLLAND VILLAGE MRT STATION,2011-10-08,Y
CC22,CCL,BUONA VISTA MRT STATION,2011-10-08,Y
CC23,CCL,ONE-NORTH MRT STATION,2011-10-08,Y
CC24,CCL,KENT RIDGE MRT STATION,2011-10-08,Y
CC25,CCL,HAW PAR VILLA MRT STATION,2011-10-08,Y
CC26,CCL,PASIR PANJANG MRT STATION,2011-10-08,Y
CC27,CCL,LABRADOR PARK MRT STATION,2011-10-08,Y
CC28,CCL,TELOK BLANGAH MRT STATION,2011-10-08,Y
CC29,CCL,HARBOURFRONT MRT STATION,2011-10-08,Y
CC30,CCL,KEPPEL MRT STATION,,N
CC31,CCL,CANTONMENT MRT STATION,,N
CC32,CCL,PRINCE EDWARD ROAD MRT STATION,,N
CE1,CCL,BAYFRONT MRT STATION,2012-01-14,Y
CE2,CCL,MARINA BAY MRT STATION,2012-01-14,Y
CR1,CRL,TBA,,N
CR2,CRL,AVIATION PARK MRT STATION,,N
CR3,CRL,LOYANG MRT STATION,,N
CR4,CRL,PASIR RIS EAST MRT STATION,,N
CR5,CRL,PASIR RIS MRT STATION,,N
CR6,CRL,TAMPINES NORTH MRT STATION,,N
CR7,CRL,DEFU MRT STATION,,N
CR8,CRL,HOUGANG MRT STATION,,N
CR9,CRL,SERANGOON NORTH MRT STATION,,N
CR10,CRL,TAVISTOCK MRT STATION,,N
CR11,CRL,ANG MO KIO MRT STATION,,N
CR12,CRL,TECK GHEE MRT STATION,,N
CR13,CRL,BRIGHT HILL MRT STATION,,N
CR14,CRL,TURF CITY MRT STATION,,N
CR15,CRL,KING ALBERT PARK MRT STATION,,N
CR16,CRL,MAJU MRT STATION,,N
CR17,CRL,CLEMENTI MRT STATION,,N
CR18,CRL,WEST COAST MRT STATION,,N
CR19,CRL,JURONG LAKE DISTRICT MRT STATION,,N
CP1,CRL,PASIR RIS MRT STATION,,N
CP2,CRL,ELIAS MRT STATION,,N
CP3,CRL,RIVIERA LRT STATION,,N
CP4,CRL,PUNGGOL MRT STATION,,N
DT0,DTL,SUNGEI KADUT MRT STATION,,N
DT1,DTL,BUKIT PANJANG MRT STATION,2015-12-27,Y
DT2,DTL,CASHEW MRT STATION,2015-12-27,Y
DT3,DTL,HILLVIEW MRT STATION,2015-12-27,Y
DT4,DTL,HUME MRT STATION,,N
DT5,DTL,BEAUTY WORLD MRT STATION,2015-12-27,Y
DT6,DTL,KING ALBERT PARK MRT STATION,2015-12-27,Y
DT7,DTL,SIXTH AVENUE MRT STATION,2015-12-27,Y
DT8,DTL,TAN KAH KEE MRT STATION,2015-12-27,Y
DT9,DTL,BOTANIC GARDENS MRT STATION,2015-12-27,Y
DT10,DTL,STEVENS MRT STATION,2015-12-27,Y
DT11,DTL,NEWTON MRT STATION,2015-12-27,Y
DT12,DTL,LITTLE INDIA MRT STATION,2015-12-27,Y
DT13,DTL,ROCHOR MRT STATION,2015-12-27,Y
DT14,DTL,BUGIS MRT STATION,2013-12-22,Y
DT15,DTL,PROMENADE MRT STATION,2013-12-22,Y
DT16,DTL,BAYFRONT MRT STATION,2013-12-22,Y
DT17,DTL,DOWNTOWN MRT STATION,2013-12-22,Y
DT18,DTL,TELOK AYER MRT STATION,2013-12-22,Y
DT19,DTL,CHINATOWN MRT STATION,2013-12-22,Y
DT20,DTL,FORT CANNING MRT STATION,2017-10-21,Y
DT21,DTL,BENCOOLEN MRT STATION,2017-10-21,Y
DT22,DTL,JALAN BESAR MRT STATION,2017-10-21,Y
DT23,DTL,BENDEMEER MRT STATION,2017-10-21,Y
DT24,DTL,GEYLANG BAHRU MRT STATION,2017-10-21,Y
DT25,DTL,MATTAR MRT STATION,2017-10-21,Y
DT26,DTL,MACPHERSON MRT STATION,2017-10-21,Y
DT27,DTL,UBI MRT STATION,2017-10-21,Y
DT28,DTL,KAKI BUKIT MRT STATION,2017-10-21,Y
DT29,DTL,BEDOK NORTH MRT STATION,2017-10-21,Y
DT30,DTL,BEDOK RESERVOIR MRT STATION,2017-10-21,Y
DT31,DTL,TAMPINES WEST MRT STATION,2017-10-21,Y
DT32,DTL,TAMPINES MRT STATION,2017-10-21,Y
DT33,DTL,TAMPINES EAST MRT STATION,2017-10-21,Y
DT34,DTL,UPPER CHANGI MRT STATION,2017-10-21,Y
DT35,DTL,EXPO MRT STATION,2017-10-21,Y
DT36,DTL,XILIN MRT STATION,,N
DT37,DTL,SUNGEI BEDOK MRT STATION,,N
CG1,EWL,EXPO MRT STATION,2001-01-10,Y
CG2,EWL,CHANGI AIRPORT MRT STATION,2002-02-08,Y
EW1,EWL,PASIR RIS MRT STATION,1989-12-16,Y
EW2,EWL,TAMPINES MRT STATION,1989-12-16,Y
EW3,EWL,SIMEI MRT STATION,1989-12-16,Y
EW4,EWL,TANAH MERAH MRT STATION,1989-11-04,Y
EW5,EWL,BEDOK MRT STATION,1989-11-04,Y
EW6,EWL,KEMBANGAN MRT STATION,1989-11-04,Y
EW7,EWL,EUNOS MRT STATION,1989-11-04,Y
EW8,EWL,PAYA LEBAR MRT STATION,1989-11-04,Y
EW9,EWL,ALJUNIED MRT STATION,1989-11-04,Y
EW10,EWL,KALLANG MRT STATION,1989-11-04,Y
EW11,EWL,LAVENDER MRT STATION,1989-11-04,Y
