address,nearest_mall,nearest_mall_dist
406 ANG MO KIO AVENUE 10,AMK Hub,1.0140889046491983
108 ANG MO KIO AVENUE 4,Broadway Plaza,0.8691087610080823
602 ANG MO KIO AVENUE 5,Broadway Plaza,1.5258326499719246
465 ANG MO KIO AVENUE 10,myVillage At Serangoon Garden,0.8940471810835117
601 ANG MO KIO AVENUE 5,Broadway Plaza,1.5695698316268287
150 ANG MO KIO AVENUE 5,Broadway Plaza,0.6938708520893532
447 ANG MO KIO AVENUE 10,AMK Hub,0.8600353363434483
218 ANG MO KIO AVENUE 1,AMK Hub,0.8860773113762725
571 ANG MO KIO AVENUE 3,AMK Hub,0.7165285827750675
534 ANG MO KIO AVENUE 10,Jubilee Square,0.7481956621109107
233 ANG MO KIO AVENUE 3,Broadway Plaza,1.1341535749937186
235 ANG MO KIO AVENUE 3,Broadway Plaza,1.1951133908918956
219 ANG MO KIO AVENUE 1,Broadway Plaza,0.8838085776416095
536 ANG MO KIO AVENUE 10,Jubilee Square,0.7579121039873705
230 ANG MO KIO AVENUE 3,Broadway Plaza,0.9590882164943498
570 ANG MO KIO AVENUE 3,AMK Hub,0.8408420322416138
624 ANG MO KIO AVENUE 4,Broadway Plaza,1.2533319228418707
441 ANG MO KIO AVENUE 10,AMK Hub,0.7331896412216856
625 ANG MO KIO AVENUE 9,Broadway Plaza,1.2512353747518625
119 ANG MO KIO AVENUE 3,Broadway Plaza,0.2971163211434859
255 ANG MO KIO AVENUE 4,Broadway Plaza,1.2680104083677306
432 ANG MO KIO AVENUE 10,AMK Hub,0.5825727853921311
211 ANG MO KIO AVENUE 3,Broadway Plaza,0.5649040125648391
584 ANG MO KIO AVENUE 3,AMK Hub,0.577663282029271
118 ANG MO KIO AVENUE 4,Broadway Plaza,1.1755738929698052
333 ANG MO KIO AVENUE 1,AMK Hub,0.9592698248847672
256 ANG MO KIO AVENUE 4,Broadway Plaza,1.120744042618879
330 ANG MO KIO AVENUE 1,AMK Hub,0.820109702143004
557 ANG MO KIO AVENUE 10,AMK Hub,1.059870423296508
302 ANG MO KIO AVENUE 3,AMK Hub,0.4037771752157995
575 ANG MO KIO AVENUE 10,AMK Hub,0.8610241718088149
509 ANG MO KIO AVENUE 8,Jubilee Square,0.35451920124303904
472 ANG MO KIO AVENUE 10,myVillage At Serangoon Garden,0.8135294935374219
475 ANG MO KIO AVENUE 10,myVillage At Serangoon Garden,0.9996702289520076
629 ANG MO KIO AVENUE 4,Broadway Plaza,1.0936292248278179
546 ANG MO KIO AVENUE 10,Jubilee Square,1.0430396145467822
131 ANG MO KIO AVENUE 3,Broadway Plaza,0.4729960468407939
254 ANG MO KIO AVENUE 4,Broadway Plaza,1.2682297449617714
470 ANG MO KIO AVENUE 10,myVillage At Serangoon Garden,0.9493954797420282
463 ANG MO KIO AVENUE 10,myVillage At Serangoon Garden,0.8777526179284403
207 ANG MO KIO AVENUE 1,AMK Hub,0.7406084480816572
304 ANG MO KIO AVENUE 1,AMK Hub,0.5177454295865548
646 ANG MO KIO AVENUE 6,Broadway Plaza,0.8597984449304316
328 ANG MO KIO AVENUE 3,AMK Hub,0.31389235167150054
588C ANG MO KIO STREET 52,AMK Hub,0.6380562442208476
588D ANG MO KIO STREET 52,AMK Hub,0.6560820944903955
101 ANG MO KIO AVENUE 3,Broadway Plaza,0.7449372696553065
430 ANG MO KIO AVENUE 3,AMK Hub,0.47883609884684153
520 ANG MO KIO AVENUE 5,Jubilee Square,0.4083593188035758
716 ANG MO KIO AVENUE 6,Broadway Plaza,0.051592423281561134
588A ANG MO KIO STREET 52,Jubilee Square,0.5518161496567097
310A ANG MO KIO AVENUE 1,AMK Hub,0.7226163514222202
613 ANG MO KIO AVENUE 4,Broadway Plaza,1.0338140890454028
101 BEDOK NORTH AVENUE 4,Bedok Point,1.2217091431022906
548 BEDOK NORTH AVENUE 1,Djitsun Mall Bedok,0.6479043021536126
75 BEDOK NORTH ROAD,Bedok Point,1.1370900382387639
550 BEDOK NORTH AVENUE 1,Djitsun Mall Bedok,0.7970068952910732
1 BEDOK SOUTH AVENUE 1,Bedok Point,0.4789780228969753
151 BEDOK RESERVOIR ROAD,Djitsun Mall Bedok,2.261041956038752
54 CHAI CHEE STREET,Djitsun Mall Bedok,1.0112507465918663
50 CHAI CHEE STREET,Djitsun Mall Bedok,0.8692028163699849
105 BEDOK RESERVOIR ROAD,Singapore Post Centre,1.9401263921812861
528 BEDOK NORTH STREET 3,Djitsun Mall Bedok,0.9898058380354938
534 BEDOK NORTH STREET 3,Djitsun Mall Bedok,0.9293619864885284
77 BEDOK NORTH ROAD,Bedok Point,1.149368998788802
116 BEDOK RESERVOIR ROAD,Singapore Post Centre,2.0284246959848207
18 BEDOK SOUTH ROAD,Bedok Point,0.5475011747269415
40 CHAI CHEE AVENUE,Bedok Mall,0.34032358002914814
57 NEW UPPER CHANGI ROAD,Bedok Point,1.0284482897730625
105 BEDOK NORTH AVENUE 4,Bedok Point,1.0736577321755352
709 BEDOK RESERVOIR ROAD,Djitsun Mall Bedok,1.3037829191227288
42 CHAI CHEE STREET,Djitsun Mall Bedok,0.46528893995494053
55 CHAI CHEE DRIVE,Bedok Mall,1.1636706128835896
2 BEDOK SOUTH AVENUE 1,Bedok Point,0.41802049491982496
37 CHAI CHEE AVENUE,Bedok Mall,0.3482278452201097
231 BISHAN STREET 23,Junction 8,0.8185769557857252
425 BEDOK NORTH ROAD,Djitsun Mall Bedok,0.3634198908368859
117 BEDOK NORTH ROAD,Bedok Point,0.928911198198389
423 BEDOK NORTH AVENUE 1,Djitsun Mall Bedok,0.30196209390963935
533 BEDOK NORTH STREET 3,Djitsun Mall Bedok,1.0165292305669416
149 BEDOK RESERVOIR ROAD,Djitsun Mall Bedok,2.1507184711638923
35 BEDOK SOUTH AVENUE 2,Bedok Point,0.8742029858733108
42 BEDOK SOUTH ROAD,Bedok Point,1.0072695193082797
34 BEDOK SOUTH AVENUE 2,Bedok Point,0.7405992850754479
7 BEDOK SOUTH AVENUE 2,Bedok Point,0.4183538727779052
8 BEDOK SOUTH AVENUE 2,Bedok Point,0.472613057488844
80 BEDOK NORTH ROAD,Bedok Point,0.9976098140603639
78 BEDOK NORTH ROAD,Bedok Point,0.9785411508404267
135 BEDOK RESERVOIR ROAD,Djitsun Mall Bedok,2.04869477687931
148 BEDOK RESERVOIR ROAD,Djitsun Mall Bedok,2.21355981562392
81 BEDOK NORTH ROAD,Bedok Point,1.0089820310833413
142 BEDOK RESERVOIR ROAD,Djitsun Mall Bedok,2.09614485416939
124 BEDOK NORTH ROAD,Bedok Point,0.8830662425612342
705 BEDOK NORTH ROAD,Djitsun Mall Bedok,1.653503896806544
129 KIM TIAN ROAD,Tiong Bahru Plaza,0.6214524578345666
554 BEDOK NORTH STREET 3,Djitsun Mall Bedok,0.7308038967025685
602 BEDOK RESERVOIR ROAD,Djitsun Mall Bedok,2.0321773392834617
508 BEDOK NORTH AVENUE 3,Djitsun Mall Bedok,0.8700591740320591
720 BEDOK RESERVOIR ROAD,Djitsun Mall Bedok,1.2072388319705978
765 BEDOK RESERVOIR VIEW,Bedok Point,1.281643805954704
10 CHAI CHEE ROAD,Djitsun Mall Bedok,0.544098040970271
185 BEDOK NORTH ROAD,Bedok Point,0.9530913512734427
111 LENGKONG TIGA,Singapore Post Centre,1.9104695059401708
220B BEDOK CENTRAL,Bedok Point,0.22854218067387883
603 BEDOK RESERVOIR ROAD,Djitsun Mall Bedok,1.9503376530526486
21 CHAI CHEE ROAD,Bedok Mall,0.7691696502990305
672 JALAN DAMAI,Singapore Post Centre,2.1151524734012663
415 BEDOK NORTH AVENUE 2,Djitsun Mall Bedok,0.3981939168395336
763 BEDOK RESERVOIR VIEW,Djitsun Mall Bedok,1.2474017685305592
805 CHAI CHEE ROAD,Bedok Mall,0.8508023809268255
723 BEDOK RESERVOIR ROAD,Djitsun Mall Bedok,1.1998580856935932
722 BEDOK RESERVOIR ROAD,Djitsun Mall Bedok,1.1725620729829518
219C BEDOK CENTRAL,Bedok Point,0.12959469473773275
640 BEDOK RESERVOIR ROAD,Singapore Post Centre,1.8312289429157915
160 BEDOK SOUTH AVENUE 3,Bedok Point,1.5624907667375154
94C BEDOK NORTH AVENUE 4,Bedok Point,1.4906338320329688
22 SIN MING ROAD,Thomson Plaza,1.061926114242909
407 SIN MING AVENUE,Thomson Plaza,1.0951412195789785
105 BISHAN STREET 12,Junction 8,0.5303784226845855
167 BISHAN STREET 13,Junction 8,0.7878165153549905
111 BISHAN STREET 12,Junction 8,0.38535706014094495
