address,nearest_mrt,nearest_mrt_dist
406 ANG MO KIO AVENUE 10,ANG MO KIO MRT STATION,1.0000016784037695
108 ANG MO KIO AVENUE 4,MAYFLOWER MRT STATION,0.19003049129686128
602 ANG MO KIO AVENUE 5,LENTOR MRT STATION,0.5321513247858776
465 ANG MO KIO AVENUE 10,ANG MO KIO MRT STATION,0.9455906022952821
601 ANG MO KIO AVENUE 5,LENTOR MRT STATION,0.4984176376469049
150 ANG MO KIO AVENUE 5,YIO CHU KANG MRT STATION,0.6370298010603211
447 ANG MO KIO AVENUE 10,ANG MO KIO MRT STATION,0.7633075636549155
218 ANG MO KIO AVENUE 1,MAYFLOWER MRT STATION,0.9077028333814738
571 ANG MO KIO AVENUE 3,ANG MO KIO MRT STATION,0.5926509872559093
534 ANG MO KIO AVENUE 10,ANG MO KIO MRT STATION,0.6866391402109708
233 ANG MO KIO AVENUE 3,MAYFLOWER MRT STATION,0.43320743313960486
235 ANG MO KIO AVENUE 3,MAYFLOWER MRT STATION,0.5130876119469986
219 ANG MO KIO AVENUE 1,MAYFLOWER MRT STATION,0.7577936666136745
536 ANG MO KIO AVENUE 10,ANG MO KIO MRT STATION,0.71260688366742
230 ANG MO KIO AVENUE 3,MAYFLOWER MRT STATION,0.32416599001706875
570 ANG MO KIO AVENUE 3,ANG MO KIO MRT STATION,0.7199931880718649
624 ANG MO KIO AVENUE 4,YIO CHU KANG MRT STATION,0.5508961626194397
441 ANG MO KIO AVENUE 10,ANG MO KIO MRT STATION,0.6690981103372707
625 ANG MO KIO AVENUE 9,YIO CHU KANG MRT STATION,0.4187348011713887
119 ANG MO KIO AVENUE 3,ANG MO KIO MRT STATION,0.542464061851211
255 ANG MO KIO AVENUE 4,MAYFLOWER MRT STATION,0.23347373616748568
432 ANG MO KIO AVENUE 10,ANG MO KIO MRT STATION,0.48444093770690216
211 ANG MO KIO AVENUE 3,MAYFLOWER MRT STATION,0.6204592620660876
584 ANG MO KIO AVENUE 3,ANG MO KIO MRT STATION,0.44697374244136207
118 ANG MO KIO AVENUE 4,MAYFLOWER MRT STATION,0.23632021111937432
333 ANG MO KIO AVENUE 1,ANG MO KIO MRT STATION,0.9792951684015655
256 ANG MO KIO AVENUE 4,MAYFLOWER MRT STATION,0.11512909371465296
330 ANG MO KIO AVENUE 1,ANG MO KIO MRT STATION,0.845458730492817
557 ANG MO KIO AVENUE 10,ANG MO KIO MRT STATION,0.9294214101548118
302 ANG MO KIO AVENUE 3,ANG MO KIO MRT STATION,0.535822252915629
575 ANG MO KIO AVENUE 10,ANG MO KIO MRT STATION,0.7298895565984972
509 ANG MO KIO AVENUE 8,ANG MO KIO MRT STATION,0.4544540699372189
472 ANG MO KIO AVENUE 10,ANG MO KIO MRT STATION,1.2131122476975265
475 ANG MO KIO AVENUE 10,ANG MO KIO MRT STATION,1.1162930091411454
629 ANG MO KIO AVENUE 4,YIO CHU KANG MRT STATION,0.5372146003765879
546 ANG MO KIO AVENUE 10,ANG MO KIO MRT STATION,0.9270686644015962
131 ANG MO KIO AVENUE 3,MAYFLOWER MRT STATION,0.5845891995877412
254 ANG MO KIO AVENUE 4,MAYFLOWER MRT STATION,0.25140416642425906
470 ANG MO KIO AVENUE 10,ANG MO KIO MRT STATION,1.0240542907983983
463 ANG MO KIO AVENUE 10,ANG MO KIO MRT STATION,0.9424049804791255
207 ANG MO KIO AVENUE 1,ANG MO KIO MRT STATION,0.8744871775158293
304 ANG MO KIO AVENUE 1,ANG MO KIO MRT STATION,0.6485550024271827
646 ANG MO KIO AVENUE 6,YIO CHU KANG MRT STATION,0.292403412591087
328 ANG MO KIO AVENUE 3,ANG MO KIO MRT STATION,0.4120650764673903
588C ANG MO KIO STREET 52,ANG MO KIO MRT STATION,0.5036884485076366
588D ANG MO KIO STREET 52,ANG MO KIO MRT STATION,0.5218974533797383
101 ANG MO KIO AVENUE 3,MAYFLOWER MRT STATION,0.3491143523262729
430 ANG MO KIO AVENUE 3,ANG MO KIO MRT STATION,0.3714254139029365
520 ANG MO KIO AVENUE 5,ANG MO KIO MRT STATION,0.4221619412105299
716 ANG MO KIO AVENUE 6,ANG MO KIO MRT STATION,0.4448110528965539
588A ANG MO KIO STREET 52,ANG MO KIO MRT STATION,0.4305046719612261
310A ANG MO KIO AVENUE 1,ANG MO KIO MRT STATION,0.8515455810693598
613 ANG MO KIO AVENUE 4,YIO CHU KANG MRT STATION,0.7275397887030599
101 BEDOK NORTH AVENUE 4,BEDOK RESERVOIR MRT STATION,0.6755271613058732
548 BEDOK NORTH AVENUE 1,BEDOK RESERVOIR MRT STATION,0.837802626931148
75 BEDOK NORTH ROAD,TANAH MERAH MRT STATION,0.4748714257765368
550 BEDOK NORTH AVENUE 1,BEDOK RESERVOIR MRT STATION,0.7605115398040773
1 BEDOK SOUTH AVENUE 1,TANAH MERAH MRT STATION,1.570569706699607
151 BEDOK RESERVOIR ROAD,KAKI BUKIT MRT STATION,0.3501160022113402
54 CHAI CHEE STREET,BEDOK NORTH MRT STATION,0.6781689288286888
50 CHAI CHEE STREET,BEDOK NORTH MRT STATION,0.7781730815616781
105 BEDOK RESERVOIR ROAD,KAKI BUKIT MRT STATION,0.647966191285221
