address,nearest_pri_sch,nearest_pri_sch_dist
406 ANG MO KIO AVENUE 10,TOWNSVILLE PRIMARY SCHOOL,0.21812350862202756
108 ANG MO KIO AVENUE 4,ANG MO KIO PRIMARY SCHOOL,0.2416014254337576
602 ANG MO KIO AVENUE 5,MAYFLOWER PRIMARY SCHOOL,0.5068466172729008
465 ANG MO KIO AVENUE 10,TECK GHEE PRIMARY SCHOOL,0.6918870197551138
601 ANG MO KIO AVENUE 5,MAYFLOWER PRIMARY SCHOOL,0.5464420632969187
150 ANG MO KIO AVENUE 5,MAYFLOWER PRIMARY SCHOOL,0.6954458950971985
447 ANG MO KIO AVENUE 10,TECK GHEE PRIMARY SCHOOL,0.5877352780662898
218 ANG MO KIO AVENUE 1,ANG MO KIO PRIMARY SCHOOL,0.5207768297400506
571 ANG MO KIO AVENUE 3,JING SHAN PRIMARY SCHOOL,0.4061751275501373
534 ANG MO KIO AVENUE 10,JING SHAN PRIMARY SCHOOL,0.35393064586688716
233 ANG MO KIO AVENUE 3,ANG MO KIO PRIMARY SCHOOL,0.3767368180503577
235 ANG MO KIO AVENUE 3,ANG MO KIO PRIMARY SCHOOL,0.4454841123164248
219 ANG MO KIO AVENUE 1,ANG MO KIO PRIMARY SCHOOL,0.3864595621537899
536 ANG MO KIO AVENUE 10,JING SHAN PRIMARY SCHOOL,0.38035147477465425
230 ANG MO KIO AVENUE 3,ANG MO KIO PRIMARY SCHOOL,0.19987503858836614
570 ANG MO KIO AVENUE 3,JING SHAN PRIMARY SCHOOL,0.5339953735038393
624 ANG MO KIO AVENUE 4,ANDERSON PRIMARY SCHOOL,0.3311859088189502
441 ANG MO KIO AVENUE 10,TECK GHEE PRIMARY SCHOOL,0.35437752312849824
625 ANG MO KIO AVENUE 9,ANDERSON PRIMARY SCHOOL,0.22234951645759635
119 ANG MO KIO AVENUE 3,ANG MO KIO PRIMARY SCHOOL,0.5648080982890626
255 ANG MO KIO AVENUE 4,CHIJ ST. NICHOLAS GIRLS' SCHOOL,0.31484946866983615
432 ANG MO KIO AVENUE 10,TECK GHEE PRIMARY SCHOOL,0.41189408212390816
211 ANG MO KIO AVENUE 3,ANG MO KIO PRIMARY SCHOOL,0.22704249307564234
584 ANG MO KIO AVENUE 3,JING SHAN PRIMARY SCHOOL,0.2375247592887617
118 ANG MO KIO AVENUE 4,CHIJ ST. NICHOLAS GIRLS' SCHOOL,0.1375460315245302
333 ANG MO KIO AVENUE 1,TOWNSVILLE PRIMARY SCHOOL,0.27760699580080983
256 ANG MO KIO AVENUE 4,CHIJ ST. NICHOLAS GIRLS' SCHOOL,0.3695288162803545
330 ANG MO KIO AVENUE 1,TECK GHEE PRIMARY SCHOOL,0.35587027291408546
557 ANG MO KIO AVENUE 10,JING SHAN PRIMARY SCHOOL,0.6659214543971276
302 ANG MO KIO AVENUE 3,TECK GHEE PRIMARY SCHOOL,0.6164267109154427
575 ANG MO KIO AVENUE 10,JING SHAN PRIMARY SCHOOL,0.47073736280866463
509 ANG MO KIO AVENUE 8,JING SHAN PRIMARY SCHOOL,0.2887471430766588
472 ANG MO KIO AVENUE 10,TOWNSVILLE PRIMARY SCHOOL,0.588805543499904
475 ANG MO KIO AVENUE 10,TOWNSVILLE PRIMARY SCHOOL,0.41743813150312764
629 ANG MO KIO AVENUE 4,ANDERSON PRIMARY SCHOOL,0.4663395820752014
546 ANG MO KIO AVENUE 10,JING SHAN PRIMARY SCHOOL,0.6143919359004107
131 ANG MO KIO AVENUE 3,ANG MO KIO PRIMARY SCHOOL,0.3056040843032417
254 ANG MO KIO AVENUE 4,CHIJ ST. NICHOLAS GIRLS' SCHOOL,0.365173940245432
470 ANG MO KIO AVENUE 10,TOWNSVILLE PRIMARY SCHOOL,0.550194596089042
463 ANG MO KIO AVENUE 10,TECK GHEE PRIMARY SCHOOL,0.7352530113323917
207 ANG MO KIO AVENUE 1,ANG MO KIO PRIMARY SCHOOL,0.5273433209496637
304 ANG MO KIO AVENUE 1,TECK GHEE PRIMARY SCHOOL,0.6732798692814491
646 ANG MO KIO AVENUE 6,ANDERSON PRIMARY SCHOOL,0.5922369274332184
