address,nearest_sec_sch,nearest_sec_sch_dist
406 ANG MO KIO AVENUE 10,DEYI SECONDARY SCHOOL,0.46577737227058386
108 ANG MO KIO AVENUE 4,MAYFLOWER SECONDARY SCHOOL,0.43445524897315496
602 ANG MO KIO AVENUE 5,PRESBYTERIAN HIGH SCHOOL,0.7893927765947845
465 ANG MO KIO AVENUE 10,DEYI SECONDARY SCHOOL,0.5187071872549547
601 ANG MO KIO AVENUE 5,PRESBYTERIAN HIGH SCHOOL,0.8110474850965853
150 ANG MO KIO AVENUE 5,YIO CHU KANG SECONDARY SCHOOL,0.12995920238257674
447 ANG MO KIO AVENUE 10,DEYI SECONDARY SCHOOL,0.41462346127392846
218 ANG MO KIO AVENUE 1,ANG MO KIO SECONDARY SCHOOL,0.24951654119208797
571 ANG MO KIO AVENUE 3,DEYI SECONDARY SCHOOL,0.5185472672560006
534 ANG MO KIO AVENUE 10,ANDERSON SECONDARY SCHOOL,0.29265816304675396
233 ANG MO KIO AVENUE 3,MAYFLOWER SECONDARY SCHOOL,0.17318985590105337
235 ANG MO KIO AVENUE 3,MAYFLOWER SECONDARY SCHOOL,0.20374153181375482
219 ANG MO KIO AVENUE 1,ANG MO KIO SECONDARY SCHOOL,0.2244313889633965
536 ANG MO KIO AVENUE 10,ANDERSON SECONDARY SCHOOL,0.28385186561298775
230 ANG MO KIO AVENUE 3,MAYFLOWER SECONDARY SCHOOL,0.28950875047967695
570 ANG MO KIO AVENUE 3,DEYI SECONDARY SCHOOL,0.5669816760711012
624 ANG MO KIO AVENUE 4,PRESBYTERIAN HIGH SCHOOL,0.26587438142481784
441 ANG MO KIO AVENUE 10,DEYI SECONDARY SCHOOL,0.18071694639316718
625 ANG MO KIO AVENUE 9,PRESBYTERIAN HIGH SCHOOL,0.13935152673893128
119 ANG MO KIO AVENUE 3,ANG MO KIO SECONDARY SCHOOL,0.37523265912843096
255 ANG MO KIO AVENUE 4,MAYFLOWER SECONDARY SCHOOL,0.27567740534420415
432 ANG MO KIO AVENUE 10,DEYI SECONDARY SCHOOL,0.2814061902675089
211 ANG MO KIO AVENUE 3,ANG MO KIO SECONDARY SCHOOL,0.21271621284186257
584 ANG MO KIO AVENUE 3,ANDERSON SECONDARY SCHOOL,0.45569067795509377
118 ANG MO KIO AVENUE 4,CHIJ ST. NICHOLAS GIRLS' SCHOOL,0.1375460315245302
333 ANG MO KIO AVENUE 1,DEYI SECONDARY SCHOOL,0.5232318949491175
256 ANG MO KIO AVENUE 4,MAYFLOWER SECONDARY SCHOOL,0.2676888689678512
330 ANG MO KIO AVENUE 1,DEYI SECONDARY SCHOOL,0.42877802852582153
557 ANG MO KIO AVENUE 10,ANDERSON SECONDARY SCHOOL,0.7507807465018325
302 ANG MO KIO AVENUE 3,ANG MO KIO SECONDARY SCHOOL,0.3911584371060336
575 ANG MO KIO AVENUE 10,ANDERSON SECONDARY SCHOOL,0.5885038993302399
509 ANG MO KIO AVENUE 8,ANDERSON SECONDARY SCHOOL,0.16184466574083436
472 ANG MO KIO AVENUE 10,DEYI SECONDARY SCHOOL,0.6959751092861783
475 ANG MO KIO AVENUE 10,DEYI SECONDARY SCHOOL,0.575530747459054
629 ANG MO KIO AVENUE 4,PRESBYTERIAN HIGH SCHOOL,0.2856187253066072
546 ANG MO KIO AVENUE 10,ANDERSON SECONDARY SCHOOL,0.6134564494888209
131 ANG MO KIO AVENUE 3,ANG MO KIO SECONDARY SCHOOL,0.4086317769356656
254 ANG MO KIO AVENUE 4,MAYFLOWER SECONDARY SCHOOL,0.2262575312662327
470 ANG MO KIO AVENUE 10,DEYI SECONDARY SCHOOL,0.507661699212925
463 ANG MO KIO AVENUE 10,DEYI SECONDARY SCHOOL,0.56008789247957
207 ANG MO KIO AVENUE 1,ANG MO KIO SECONDARY SCHOOL,0.18454103200663013
304 ANG MO KIO AVENUE 1,ANG MO KIO SECONDARY SCHOOL,0.33679701036785314
646 ANG MO KIO AVENUE 6,YIO CHU KANG SECONDARY SCHOOL,0.23961399108178644
328 ANG MO KIO AVENUE 3,DEYI SECONDARY SCHOOL,0.5253591386993701
588C ANG MO KIO STREET 52,ANDERSON SECONDARY SCHOOL,0.3639567664755161
588D ANG MO KIO STREET 52,ANDERSON SECONDARY SCHOOL,0.3859979817331856
101 ANG MO KIO AVENUE 3,ANG MO KIO SECONDARY SCHOOL,0.4405055218529829
430 ANG MO KIO AVENUE 3,DEYI SECONDARY SCHOOL,0.3321315402137257
520 ANG MO KIO AVENUE 5,ANDERSON SECONDARY SCHOOL,0.11342270870954534
716 ANG MO KIO AVENUE 6,ANG MO KIO SECONDARY SCHOOL,0.6168850667387247
588A ANG MO KIO STREET 52,ANDERSON SECONDARY SCHOOL,0.2853624257263717
310A ANG MO KIO AVENUE 1,ANG MO KIO SECONDARY SCHOOL,0.3365815289600924
613 ANG MO KIO AVENUE 4,YIO CHU KANG SECONDARY SCHOOL,0.32105116038355885
101 BEDOK NORTH AVENUE 4,BEDOK GREEN SECONDARY SCHOOL,0.3224421599853151
548 BEDOK NORTH AVENUE 1,DAMAI SECONDARY SCHOOL,0.6217424418004296
75 BEDOK NORTH ROAD,ANGLICAN HIGH SCHOOL,0.31765850286785074
550 BEDOK NORTH AVENUE 1,DAMAI SECONDARY SCHOOL,0.4712260804570334
1 BEDOK SOUTH AVENUE 1,TEMASEK JUNIOR COLLEGE,0.3321043578757055
151 BEDOK RESERVOIR ROAD,PING YI SECONDARY SCHOOL,1.3908224274780923
54 CHAI CHEE STREET,PING YI SECONDARY SCHOOL,0.2758962191909216
50 CHAI CHEE STREET,PING YI SECONDARY SCHOOL,0.3169169010506761
105 BEDOK RESERVOIR ROAD,MANJUSRI SECONDARY SCHOOL,0.8435072089070959
528 BEDOK NORTH STREET 3,DAMAI SECONDARY SCHOOL,0.23884739650897252
534 BEDOK NORTH STREET 3,DAMAI SECONDARY SCHOOL,0.49949514085418206
77 BEDOK NORTH ROAD,ANGLICAN HIGH SCHOOL,0.23191052246947863
116 BEDOK RESERVOIR ROAD,MANJUSRI SECONDARY SCHOOL,0.865582609017128
18 BEDOK SOUTH ROAD,TEMASEK JUNIOR COLLEGE,0.25335169092994114
40 CHAI CHEE AVENUE,PING YI SECONDARY SCHOOL,0.6532236321478783
57 NEW UPPER CHANGI ROAD,BEDOK VIEW SECONDARY SCHOOL,0.2456139126423013
105 BEDOK NORTH AVENUE 4,BEDOK GREEN SECONDARY SCHOOL,0.18774228800550471
709 BEDOK RESERVOIR ROAD,DAMAI SECONDARY SCHOOL,0.5536749505493755
42 CHAI CHEE STREET,PING YI SECONDARY SCHOOL,0.5780629783065738
55 CHAI CHEE DRIVE,PING YI SECONDARY SCHOOL,0.18850558597465206
2 BEDOK SOUTH AVENUE 1,TEMASEK JUNIOR COLLEGE,0.4001972374089063
37 CHAI CHEE AVENUE,PING YI SECONDARY SCHOOL,0.6372840495075278
231 BISHAN STREET 23,CATHOLIC HIGH SCHOOL,0.3029051687500806
425 BEDOK NORTH ROAD,DAMAI SECONDARY SCHOOL,0.864220041548492
117 BEDOK NORTH ROAD,ANGLICAN HIGH SCHOOL,0.2880139769808837
423 BEDOK NORTH AVENUE 1,PING YI SECONDARY SCHOOL,0.771478109212081
533 BEDOK NORTH STREET 3,DAMAI SECONDARY SCHOOL,0.48920363690026986
149 BEDOK RESERVOIR ROAD,PING YI SECONDARY SCHOOL,1.309264961988622
35 BEDOK SOUTH AVENUE 2,BEDOK VIEW SECONDARY SCHOOL,0.4898818483652378
42 BEDOK SOUTH ROAD,BEDOK VIEW SECONDARY SCHOOL,0.45099153060163294
34 BEDOK SOUTH AVENUE 2,TEMASEK JUNIOR COLLEGE,0.5015580742754665
7 BEDOK SOUTH AVENUE 2,TEMASEK JUNIOR COLLEGE,0.47813131766943
8 BEDOK SOUTH AVENUE 2,TEMASEK JUNIOR COLLEGE,0.4838331294598833
80 BEDOK NORTH ROAD,ANGLICAN HIGH SCHOOL,0.23804270790989385
78 BEDOK NORTH ROAD,ANGLICAN HIGH SCHOOL,0.3681579127828958
135 BEDOK RESERVOIR ROAD,PING YI SECONDARY SCHOOL,1.1345468592133174
148 BEDOK RESERVOIR ROAD,PING YI SECONDARY SCHOOL,1.343840701503385
81 BEDOK NORTH ROAD,ANGLICAN HIGH SCHOOL,0.19422405015988153
142 BEDOK RESERVOIR ROAD,PING YI SECONDARY SCHOOL,1.2620583918168278
124 BEDOK NORTH ROAD,ANGLICAN HIGH SCHOOL,0.2697328954204505
705 BEDOK NORTH ROAD,DAMAI SECONDARY SCHOOL,0.9018658524189792
129 KIM TIAN ROAD,GAN ENG SENG SCHOOL,1.0448625504538376
554 BEDOK NORTH STREET 3,DAMAI SECONDARY SCHOOL,0.4956379860195403
602 BEDOK RESERVOIR ROAD,PING YI SECONDARY SCHOOL,1.0472034808891468
508 BEDOK NORTH AVENUE 3,BEDOK GREEN SECONDARY SCHOOL,0.30549176444157444
720 BEDOK RESERVOIR ROAD,DAMAI SECONDARY SCHOOL,0.2675920769550891
765 BEDOK RESERVOIR VIEW,BEDOK GREEN SECONDARY SCHOOL,0.19201851232449693
10 CHAI CHEE ROAD,PING YI SECONDARY SCHOOL,0.4576348186063697
185 BEDOK NORTH ROAD,BEDOK VIEW SECONDARY SCHOOL,0.4008181831273013
111 LENGKONG TIGA,PING YI SECONDARY SCHOOL,1.0960045780247114
220B BEDOK CENTRAL,TEMASEK JUNIOR COLLEGE,0.7841121895345591
603 BEDOK RESERVOIR ROAD,PING YI SECONDARY SCHOOL,0.9745063739382763
21 CHAI CHEE ROAD,PING YI SECONDARY SCHOOL,0.2357519961780614
672 JALAN DAMAI,MANJUSRI SECONDARY SCHOOL,0.9344941594829584
415 BEDOK NORTH AVENUE 2,BEDOK GREEN SECONDARY SCHOOL,0.7560486038602509
763 BEDOK RESERVOIR VIEW,BEDOK GREEN SECONDARY SCHOOL,0.17308557572859382
805 CHAI CHEE ROAD,PING YI SECONDARY SCHOOL,0.3169138911252422
